COMPONENTID,CONTRIBUTORID,CONTRIBUTION,RANK
1,2,0.1354378818737271,1
1,16091,0.08910386965376782,2
1,4849,0.07026476578411406,3
1,12519,0.04938900203665988,4
1,906,0.04633401221995927,5
1,17037,0.04531568228105906,6
1,17071,0.03920570264765784,7
1,28076,0.026476578411405296,8
1,12084,0.022912423625254582,9
1,12681,0.01883910386965377,10
1,6949,0.01680244399185336,11
1,21259,0.015784114052953158,12
1,212,0.015784114052953158,13
1,11119,0.015784114052953158,14
1,151,0.014765784114052953,15
1,35659,0.01374745417515275,16
1,43269,0.01374745417515275,17
1,39607,0.013238289205702648,18
1,16895,0.012729124236252547,19
1,3540,0.011710794297352342,20
1,4511,0.011710794297352342,21
1,27194,0.01120162932790224,22
1,749,0.01120162932790224,23
1,19267,0.01120162932790224,24
1,52451,0.010692464358452138,25
1,17653,0.010692464358452138,26
1,45905,0.010183299389002037,27
1,202,0.010183299389002037,28
1,55395,0.008655804480651732,29
1,51829,0.006619144602851324,30
1,10241,0.006619144602851324,31
1,8963,0.006619144602851324,32
1,24766,0.006109979633401222,33
1,9248,0.006109979633401222,34
1,5995,0.006109979633401222,35
1,41832,0.00560081466395112,36
1,17324,0.00560081466395112,37
1,14949,0.0050916496945010185,38
1,185,0.004582484725050916,39
1,190,0.004582484725050916,40
1,11723,0.004073319755600814,41
1,70914,0.004073319755600814,42
1,220,0.003564154786150713,43
1,10910,0.003564154786150713,44
1,193,0.003054989816700611,45
1,20359,0.003054989816700611,46
1,13698,0.003054989816700611,47
1,59382,0.003054989816700611,48
1,55345,0.003054989816700611,49
1,76505,0.003054989816700611,50
1,25968,0.003054989816700611,51
1,18017,0.003054989816700611,52
1,14053,0.003054989816700611,53
1,4494,0.0025458248472505093,54
1,7953,0.0025458248472505093,55
1,1595,0.0025458248472505093,56
1,26200,0.0025458248472505093,57
1,12195,0.0025458248472505093,58
1,334,0.0025458248472505093,59
1,14815,0.0025458248472505093,60
1,2184,0.0025458248472505093,61
1,29301,0.0025458248472505093,62
1,7526,0.0025458248472505093,63
1,39939,0.002036659877800407,64
1,24750,0.002036659877800407,65
1,67889,0.002036659877800407,66
1,22582,0.002036659877800407,67
1,13253,0.002036659877800407,68
1,62954,0.002036659877800407,69
1,10557,0.002036659877800407,70
1,5203,0.002036659877800407,71
1,21563,0.002036659877800407,72
1,199,0.002036659877800407,73
1,11248,0.002036659877800407,74
1,27982,0.002036659877800407,75
1,609,0.002036659877800407,76
1,40248,0.002036659877800407,77
1,9167,0.0015274949083503055,78
1,316,0.0015274949083503055,79
1,59761,0.0015274949083503055,80
1,8890,0.0015274949083503055,81
1,3750,0.0015274949083503055,82
1,63637,0.0015274949083503055,83
1,225,0.0015274949083503055,84
1,1571,0.0015274949083503055,85
1,20690,0.0015274949083503055,86
1,8628,0.0015274949083503055,87
1,52527,0.0015274949083503055,88
1,10504,0.0010183299389002036,89
1,361,0.0010183299389002036,90
1,16416,0.0010183299389002036,91
1,21729,0.0010183299389002036,92
1,169,0.0010183299389002036,93
1,1409,0.0010183299389002036,94
1,4872,0.0010183299389002036,95
1,42996,0.0010183299389002036,96
1,45824,0.0010183299389002036,97
1,78909,0.0010183299389002036,98
1,16683,0.0010183299389002036,99
1,1363,0.0010183299389002036,100
1,9188,0.0010183299389002036,101
1,49484,0.0010183299389002036,102
1,17645,0.0010183299389002036,103
1,3388,0.0010183299389002036,104
1,6573,0.0010183299389002036,105
1,4427,0.0010183299389002036,106
1,14176,0.0010183299389002036,107
1,6956,0.0010183299389002036,108
1,15196,0.0010183299389002036,109
1,2016,0.0010183299389002036,110
1,48279,0.0010183299389002036,111
1,32564,0.0010183299389002036,112
1,34187,0.0010183299389002036,113
1,84649,0.0010183299389002036,114
1,49296,0.0010183299389002036,115
1,68476,0.0010183299389002036,116
1,419,0.0010183299389002036,117
1,14141,0.0010183299389002036,118
1,64817,0.0005091649694501018,119
1,40916,0.0005091649694501018,120
1,4134,0.0005091649694501018,121
1,41106,0.0005091649694501018,122
1,3893,0.0005091649694501018,123
1,11544,0.0005091649694501018,124
1,3903,0.0005091649694501018,125
1,28919,0.0005091649694501018,126
1,96773,0.0005091649694501018,127
1,81881,0.0005091649694501018,128
1,9502,0.0005091649694501018,129
1,71820,0.0005091649694501018,130
1,58081,0.0005091649694501018,131
1,894,0.0005091649694501018,132
1,273,0.0005091649694501018,133
1,36689,0.0005091649694501018,134
1,144,0.0005091649694501018,135
1,36684,0.0005091649694501018,136
2,17071,0.5210526315789473,1
2,2,0.09210526315789473,2
2,28076,0.042105263157894736,3
2,16091,0.03684210526315789,4
2,906,0.02894736842105263,5
2,17037,0.021052631578947368,6
2,19267,0.021052631578947368,7
2,12084,0.015789473684210527,8
2,20359,0.013157894736842105,9
2,10557,0.013157894736842105,10
2,6949,0.013157894736842105,11
2,21259,0.013157894736842105,12
2,21563,0.013157894736842105,13
2,31518,0.010526315789473684,14
2,17324,0.010526315789473684,15
2,5203,0.010526315789473684,16
2,43269,0.010526315789473684,17
2,14639,0.010526315789473684,18
2,749,0.007894736842105263,19
2,4849,0.007894736842105263,20
2,8963,0.007894736842105263,21
2,14815,0.007894736842105263,22
2,190,0.007894736842105263,23
2,151,0.007894736842105263,24
2,4494,0.005263157894736842,25
2,2886,0.005263157894736842,26
2,8628,0.005263157894736842,27
2,47936,0.005263157894736842,28
2,11723,0.005263157894736842,29
2,11813,0.005263157894736842,30
2,3540,0.005263157894736842,31
2,70914,0.002631578947368421,32
2,13253,0.002631578947368421,33
2,18043,0.002631578947368421,34
2,55395,0.002631578947368421,35
2,169,0.002631578947368421,36
2,59761,0.002631578947368421,37
2,40248,0.002631578947368421,38
3,9167,0.47297297297297297,1
3,2,0.15765765765765766,2
3,6949,0.0990990990990991,3
3,906,0.036036036036036036,4
3,19267,0.02702702702702703,5
3,28076,0.02702702702702703,6
3,55395,0.02252252252252252,7
3,18043,0.018018018018018018,8
3,30319,0.018018018018018018,9
3,45905,0.018018018018018018,10
3,16091,0.009009009009009009,11
3,4849,0.009009009009009009,12
3,57853,0.009009009009009009,13
3,12519,0.009009009009009009,14
3,4511,0.009009009009009009,15
3,151,0.009009009009009009,16
3,3540,0.009009009009009009,17
3,11119,0.0045045045045045045,18
3,4494,0.0045045045045045045,19
3,13652,0.0045045045045045045,20
3,749,0.0045045045045045045,21
3,68891,0.0045045045045045045,22
3,10557,0.0045045045045045045,23
3,11869,0.0045045045045045045,24
3,21193,0.0045045045045045045,25
3,28919,0.0045045045045045045,26
4,14815,0.23381294964028776,1
4,2,0.15467625899280577,2
4,25968,0.11870503597122302,3
4,6949,0.050359712230215826,4
4,906,0.04316546762589928,5
4,17037,0.039568345323741004,6
4,749,0.02877697841726619,7
4,4849,0.025179856115107913,8
4,4511,0.025179856115107913,9
4,8628,0.02158273381294964,10
4,151,0.02158273381294964,11
4,17071,0.017985611510791366,12
4,16091,0.017985611510791366,13
4,11119,0.017985611510791366,14
4,30711,0.017985611510791366,15
4,19267,0.017985611510791366,16
4,28076,0.017985611510791366,17
4,51829,0.014388489208633094,18
4,55395,0.014388489208633094,19
4,92189,0.01079136690647482,20
4,8963,0.01079136690647482,21
4,3540,0.01079136690647482,22
4,2184,0.007194244604316547,23
4,16959,0.007194244604316547,24
4,5203,0.007194244604316547,25
4,18017,0.007194244604316547,26
4,67889,0.007194244604316547,27
4,20715,0.0035971223021582736,28
4,43269,0.0035971223021582736,29
4,14176,0.0035971223021582736,30
4,47292,0.0035971223021582736,31
4,59761,0.0035971223021582736,32
4,68476,0.0035971223021582736,33
4,35275,0.0035971223021582736,34
4,52527,0.0035971223021582736,35
4,12195,0.0035971223021582736,36
5,5203,0.33405172413793105,1
5,59761,0.27155172413793105,2
5,906,0.07255747126436782,3
5,11723,0.05172413793103448,4
5,6949,0.04741379310344827,5
5,2,0.04454022988505747,6
5,9167,0.01293103448275862,7
5,14815,0.01293103448275862,8
5,56074,0.01221264367816092,9
5,30115,0.010057471264367816,10
5,16959,0.009339080459770116,11
5,16091,0.00646551724137931,12
5,55395,0.00646551724137931,13
5,21259,0.00646551724137931,14
5,61892,0.005747126436781609,15
5,28961,0.005028735632183908,16
5,59855,0.005028735632183908,17
5,34086,0.004310344827586207,18
5,43269,0.0035919540229885057,19
5,2016,0.0035919540229885057,20
5,69631,0.0035919540229885057,21
5,58913,0.0035919540229885057,22
5,67889,0.0028735632183908046,23
5,66934,0.0028735632183908046,24
5,95246,0.0028735632183908046,25
5,45905,0.0028735632183908046,26
5,61525,0.0028735632183908046,27
5,67162,0.0021551724137931034,28
5,27194,0.0021551724137931034,29
5,35267,0.0021551724137931034,30
5,35659,0.0021551724137931034,31
5,151,0.0021551724137931034,32
5,43351,0.0021551724137931034,33
5,45378,0.0021551724137931034,34
5,51829,0.0014367816091954023,35
5,46991,0.0014367816091954023,36
5,69250,0.0014367816091954023,37
5,70523,0.0014367816091954023,38
5,67977,0.0014367816091954023,39
5,17037,0.0014367816091954023,40
5,58356,0.0014367816091954023,41
5,19267,0.0014367816091954023,42
5,26944,0.0014367816091954023,43
5,28714,0.0014367816091954023,44
5,18017,0.0014367816091954023,45
5,59992,0.0014367816091954023,46
5,190,0.0014367816091954023,47
5,46469,0.0007183908045977011,48
5,44196,0.0007183908045977011,49
5,46678,0.0007183908045977011,50
5,26399,0.0007183908045977011,51
5,12681,0.0007183908045977011,52
5,63754,0.0007183908045977011,53
5,50205,0.0007183908045977011,54
5,54599,0.0007183908045977011,55
5,43669,0.0007183908045977011,56
5,21563,0.0007183908045977011,57
5,21942,0.0007183908045977011,58
5,43481,0.0007183908045977011,59
5,70933,0.0007183908045977011,60
5,9674,0.0007183908045977011,61
5,3540,0.0007183908045977011,62
5,17071,0.0007183908045977011,63
5,38166,0.0007183908045977011,64
5,41071,0.0007183908045977011,65
5,25635,0.0007183908045977011,66
5,34747,0.0007183908045977011,67
5,17324,0.0007183908045977011,68
5,46422,0.0007183908045977011,69
5,26200,0.0007183908045977011,70
5,13635,0.0007183908045977011,71
5,68476,0.0007183908045977011,72
5,47936,0.0007183908045977011,73
6,45905,0.14873054873054872,1
6,2,0.11302211302211303,2
6,334,0.05765765765765766,3
6,6949,0.04946764946764947,4
6,906,0.046355446355446354,5
6,27194,0.044062244062244064,6
6,11119,0.028337428337428337,7
6,28076,0.02293202293202293,8
6,212,0.021785421785421786,9
6,151,0.021785421785421786,10
6,169,0.020802620802620804,11
6,3540,0.017526617526617525,12
6,10557,0.014742014742014743,13
6,4448,0.013923013923013924,14
6,4511,0.01294021294021294,15
6,19267,0.012448812448812449,16
6,4849,0.01162981162981163,17
6,2016,0.010810810810810811,18
6,26200,0.010647010647010647,19
6,21942,0.010483210483210484,20
6,16091,0.009336609336609337,21
6,88836,0.009009009009009009,22
6,14053,0.008681408681408681,23
6,48279,0.008517608517608518,24
6,13698,0.008026208026208027,25
6,17071,0.007862407862407862,26
6,12195,0.007534807534807535,27
6,894,0.007207207207207207,28
6,18017,0.007043407043407043,29
6,220,0.0063882063882063885,30
6,12232,0.0062244062244062245,31
6,190,0.0062244062244062245,32
6,4427,0.005733005733005733,33
6,31518,0.005405405405405406,34
6,15196,0.005405405405405406,35
6,2184,0.005241605241605242,36
6,43269,0.005077805077805078,37
6,8963,0.005077805077805078,38
6,5995,0.004586404586404586,39
6,6847,0.004258804258804259,40
6,292,0.004258804258804259,41
6,17037,0.004258804258804259,42
6,316,0.004095004095004095,43
6,59992,0.0037674037674037676,44
6,199,0.0036036036036036037,45
6,17565,0.0036036036036036037,46
6,1267,0.0034398034398034397,47
6,361,0.003276003276003276,48
6,12519,0.0031122031122031123,49
6,1042,0.0029484029484029483,50
6,55395,0.0027846027846027844,51
6,4509,0.0027846027846027844,52
6,5203,0.0027846027846027844,53
6,55345,0.0027846027846027844,54
6,14949,0.002620802620802621,55
6,185,0.002293202293202293,56
6,59761,0.0021294021294021295,57
6,70914,0.0021294021294021295,58
6,11723,0.0021294021294021295,59
6,11248,0.0021294021294021295,60
6,47470,0.0019656019656019656,61
6,21563,0.0018018018018018018,62
6,1329,0.0018018018018018018,63
6,419,0.0018018018018018018,64
6,45348,0.0018018018018018018,65
6,40248,0.0018018018018018018,66
6,2713,0.0018018018018018018,67
6,16342,0.001638001638001638,68
6,51152,0.001638001638001638,69
6,1065,0.001638001638001638,70
6,21259,0.001638001638001638,71
6,34918,0.001638001638001638,72
6,8485,0.0014742014742014742,73
6,3931,0.0014742014742014742,74
6,30240,0.0014742014742014742,75
6,34829,0.0013104013104013104,76
6,14176,0.0013104013104013104,77
6,12207,0.0013104013104013104,78
6,10241,0.0013104013104013104,79
6,61525,0.0013104013104013104,80
6,68476,0.0013104013104013104,81
6,46554,0.0013104013104013104,82
6,687,0.0011466011466011465,83
6,59382,0.0011466011466011465,84
6,1363,0.0011466011466011465,85
6,1007,0.0011466011466011465,86
6,7324,0.0011466011466011465,87
6,484,0.0011466011466011465,88
6,34902,0.0009828009828009828,89
6,3994,0.0009828009828009828,90
6,10434,0.0009828009828009828,91
6,8324,0.0009828009828009828,92
6,47174,0.0009828009828009828,93
6,3390,0.0009828009828009828,94
6,52527,0.0009828009828009828,95
6,21729,0.000819000819000819,96
6,49652,0.000819000819000819,97
6,4872,0.000819000819000819,98
6,49484,0.000819000819000819,99
6,17340,0.000819000819000819,100
6,62954,0.000819000819000819,101
6,4889,0.000819000819000819,102
6,46328,0.000819000819000819,103
6,13570,0.000819000819000819,104
6,202,0.000819000819000819,105
6,4544,0.000819000819000819,106
6,8727,0.000819000819000819,107
6,609,0.000819000819000819,108
6,1206,0.0006552006552006552,109
6,1270,0.0006552006552006552,110
6,20998,0.0006552006552006552,111
6,40916,0.0006552006552006552,112
6,20856,0.0006552006552006552,113
6,41229,0.0006552006552006552,114
6,35544,0.0006552006552006552,115
6,9167,0.0006552006552006552,116
6,996,0.0006552006552006552,117
